cosine_similarity_quartile,count,mean_absolute_error,rmse,mean_actual_score
Q1,6054,6.855096625598333,8.725162027312301,37.95081020812685
Q2,6054,7.835317437141833,9.442584905332609,40.53257267922035
Q3,6054,7.986001114920424,9.60302072687325,41.84111166171127
Q4,6054,7.765354583894652,9.349109103508196,41.354244301288404
