actual_score_quartile,count,mean_absolute_error,rmse,mean_predicted_score
Q1,6154,6.884704235222748,8.124369450182481,30.46963523404623
Q2,5962,6.244921246437624,8.060102785573223,37.38812937856875
Q3,6063,7.617853029368467,9.127116900042394,43.07938411361443
Q4,6037,9.691360093518718,11.435916222407254,51.30130800890172
