model,scenario,feature_group,feature_count,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,holdout_r2,holdout_rmse
Ridge,all_features,all,36,0.4037833382201892,0.0035717445957465744,10.931489070961069,0.021398834793093215,0.4114223939615894,10.930069344002948
Ridge,only_group,structural,10,0.2579639276625368,0.00304309889036961,12.195269427965712,0.016262473277647547,0.2577195542914783,12.274535324724736
Ridge,without_group,structural,26,0.3890095265174625,0.0036198198069602927,11.066098937028505,0.021332774209659934,0.3982894667461241,11.051337883065921
Ridge,only_group,lexical,6,0.12758122134081004,0.0026406548178136108,13.223402059442131,0.03316874791942323,0.12543324287921076,13.323475661020515
Ridge,without_group,lexical,30,0.4001080982431437,0.0038885068160508657,10.965118456961571,0.024159031293448714,0.40838526178373113,10.958233303324889
Ridge,only_group,sentiment,6,0.26394845102651204,0.0019475445193099618,12.14602890878696,0.02062624052166171,0.2691957318227234,12.179279236302978
Ridge,without_group,sentiment,30,0.37302744267901417,0.003754536462679752,11.209895599565321,0.022275051231462315,0.37995021646241434,11.218488065557395
Ridge,only_group,pair_alignment,12,0.28948828534186083,0.004897351723978098,11.933341258373082,0.028751374902170633,0.30058248500890006,11.914869830823775
Ridge,without_group,pair_alignment,24,0.3898199232571314,0.002777944147694978,11.058785511464935,0.01386611238553115,0.3954663978810864,11.077232543155835
Ridge,only_group,similarity,2,0.07875492849753592,0.0004920011720756808,13.588396495844266,0.01661092163621315,0.08500093301555867,13.627976492692428
Ridge,without_group,similarity,34,0.38103269257014166,0.0034800225236839874,11.138108468917212,0.019779455962425634,0.3867449206465515,11.156850847060179
RandomForestRegressor,all_features,all,36,0.5644425807940153,0.0021620406926364847,9.343319188095686,0.018274197123329443,0.5751754312041295,9.285939777525547
RandomForestRegressor,only_group,structural,10,0.4951797924290215,0.0009397419050145725,10.058854501299964,0.009868057758209363,0.506727570544243,10.006091528729288
RandomForestRegressor,without_group,structural,26,0.5549069784023185,0.00238613703208847,9.445034239388344,0.019690542552444974,0.5666286071442256,9.378884121728976
RandomForestRegressor,only_group,lexical,6,0.4976875974436618,0.0035776401027811998,10.033766817817705,0.03225587058333364,0.5114101199927846,9.958485235781467
RandomForestRegressor,without_group,lexical,30,0.5525305848600353,0.0023492269105021657,9.470211199816188,0.016437520601054054,0.5620446510322863,9.428355895758191
RandomForestRegressor,only_group,sentiment,6,0.4226509797652045,0.004030510758481477,10.757146114311565,0.03867912435034154,0.4368658993648461,10.6912125460022
RandomForestRegressor,without_group,sentiment,30,0.5610490045631011,0.0025264333204124676,9.379632332995476,0.020855177508266817,0.571419255198079,9.326901231764968
RandomForestRegressor,only_group,pair_alignment,12,0.5130054249601286,0.0034557662807252554,9.879578942839927,0.026153589833883863,0.5215536300225823,9.854570075613557
RandomForestRegressor,without_group,pair_alignment,24,0.5663502375472836,0.002574591714550027,9.322822239420349,0.023290446761088532,0.5780095881989834,9.25491302668749
RandomForestRegressor,only_group,similarity,2,0.12532426106441985,0.001021604083493912,13.24049526587082,0.0202840550741438,0.13529533050785025,13.24814132346217
RandomForestRegressor,without_group,similarity,34,0.5568633634972632,0.0015363274494795821,9.424279004566346,0.010801967144231739,0.567454092096974,9.369947424295157
