feature,pearson_r,pearson_p_value,spearman_rho,spearman_p_value
resume_negative_ratio,-0.31679460245629676,0.0,-0.35867325561574137,0.0
resume_positive_ratio,0.3105233650983319,0.0,0.320272175818017,0.0
resume_sentiment_score,0.26888985720510883,0.0,0.28139438661004107,0.0
sentiment_difference,0.15183925476918828,0.0,0.13879730481611516,0.0
job_positive_ratio,0.14906947839519302,0.0,0.11506793581991147,0.0
job_negative_ratio,0.1363928880391614,0.0,0.10130170838212185,1.45397491675186e-273
job_sentiment_score,0.06875829752431202,8.552292144787276e-127,0.07789136898481601,2.9783813631399923e-162
sentiment_gap,0.008427186891606115,0.0033641412132378646,0.0020171245500724163,0.4827592055375326
