,count,mean,std,min,25%,50%,75%,max,variance
resume_word_count,121076.0,183.4511133502924,270.08882407434226,1.0,116.0,124.0,133.0,4284.0,72947.97288986099
job_word_count,121076.0,69.12985232416003,14.057510401669203,14.0,58.0,75.0,78.0,177.0,197.61359869303783
resume_char_count,121076.0,1471.743921173478,1961.8402224136923,1.0,983.0,1050.0,1161.0,31244.0,3848817.0582802063
job_char_count,121076.0,641.2317304833327,140.5112965225453,106.0,509.0,716.0,748.0,1543.0,19743.424450446655
resume_sentence_count,121076.0,16.749785258845684,15.664230489353592,1.0,7.0,22.0,23.0,321.0,245.36811682359468
job_sentence_count,121076.0,4.6096088407281375,1.9877559984442765,1.0,2.0,6.0,6.0,15.0,3.951173909351203
resume_avg_sentence_length,121076.0,14.615577718274988,10.855539821564022,1.0,5.434782608695652,14.77777777777778,17.9811320754717,233.14285714285717,117.84274481756223
job_avg_sentence_length,121076.0,17.45268280505198,6.228228250691616,4.666666666666667,12.833333333333334,15.2,24.5,31.5,38.79082714271314
resume_avg_word_length,121076.0,6.854724016384034,0.43123016506548745,1.0,6.6,6.971830985915493,7.148760330578512,17.21951219512195,0.18595945526240754
job_avg_word_length,121076.0,7.24948710099727,0.2903685729927502,5.813725490196078,7.066666666666666,7.253012048192771,7.45945945945946,10.285714285714286,0.0843139081818461
resume_lexical_diversity,121076.0,0.7870459023372556,0.135776854044247,0.1523082515448927,0.752,0.7910447761194029,0.8245614035087719,1.0,0.018435354094152753
job_lexical_diversity,121076.0,0.9275300749304187,0.048163776886461555,0.4731182795698925,0.9146341463414634,0.926829268292683,0.9591836734693876,1.0,0.0023197494039688487
resume_numeric_ratio,121076.0,0.03153280865237531,0.022059843837191923,0.0,0.0161290322580645,0.022801302931596,0.040650406504065,0.4405286343612334,0.00048663671012129443
job_numeric_ratio,121076.0,0.022982792747119677,0.005515942086463921,0.0,0.0196078431372549,0.0246913580246913,0.0259740259740259,0.0754716981132075,3.0425617101223956e-05
resume_flesch_reading_ease,121076.0,-1.9522889773316716,12.754006329125625,-283.5718481621435,-10.009569930069915,-1.9441992481202703,6.07652173913047,121.22000000000004,162.66467744337652
job_flesch_reading_ease,121076.0,-9.854509363466084,9.569174926149781,-49.62397058823527,-14.813999999999965,-9.810714285714257,-3.806612021857888,35.27498039215689,91.56910876725367
resume_sentiment_score,121076.0,0.6399346548959057,0.35485073550511015,-0.9837189843753552,0.4939145805736309,0.8316320352807864,0.8933580311460599,0.9992433031252572,0.12591904448851762
job_sentiment_score,121076.0,0.3641319103409962,0.32717693966972405,-0.8689430654232148,0.2022886949696694,0.3818191679226781,0.6485566468843293,0.9778642241092258,0.10704474985164626
resume_positive_ratio,121076.0,0.04092657046775093,0.025121762386198964,0.0,0.0231357552581262,0.0464,0.06015625,0.1697674418604651,0.000631102945388641
resume_negative_ratio,121076.0,0.005464518841717663,0.0097033615805275,0.0,0.0,0.0,0.0084507042253521,0.0583333333333333,9.415522596245713e-05
job_positive_ratio,121076.0,0.06257743128953419,0.043469817854836605,0.0,0.0308641975308641,0.0465116279069767,0.0852459016393442,0.1914893617021276,0.0018896250643326716
job_negative_ratio,121076.0,0.031802499399618364,0.019959199036822604,0.0,0.0204819277108433,0.0212499999999999,0.0361702127659574,0.1078947368421052,0.0003983696261915004
sentiment_difference,121076.0,0.27580274455490944,0.48024230854555805,-1.7963234927042977,0.039081795330683,0.26200009785649403,0.634598730140808,1.7543283692385403,0.230632674917167
sentiment_gap,121076.0,0.45724226718070676,0.3124551798328899,0.0,0.2022886949696694,0.39391224538352093,0.675593567337194,1.7963234927042977,0.09762823940440356
shared_token_count,121076.0,16.958654068518946,5.638800292301627,0.0,14.0,17.0,20.0,49.0,31.79606873646092
overlap_resume_ratio,121076.0,0.21642502615886627,0.10494042328396784,0.0,0.160919540229885,0.196078431372549,0.2555555555555555,0.7419354838709677,0.01101249243901834
overlap_job_ratio,121076.0,0.28032863529752505,0.08665276252040176,0.0,0.21875,0.2777777777777778,0.3472222222222222,0.7,0.007508701252417144
word_count_ratio,121076.0,2.773158052478166,4.231745313152791,0.0133333333333333,1.4871794871794872,1.7142857142857142,2.327272727272727,85.68,17.907668395390612
char_count_ratio,121076.0,2.4232825487740803,3.387543824317788,0.0013755158184319,1.3350384378818836,1.559577677224736,2.2299167667338087,70.36936936936937,11.475453161673585
sentence_count_ratio,121076.0,4.65169907220644,5.583714697232804,0.0833333333333333,1.2857142857142858,3.6666666666666665,4.8,160.5,31.177869820093616
word_count_difference,121076.0,114.32126102613235,270.5408959275365,-138.0,39.0,54.0,71.0,4234.0,73192.37636927413
char_count_difference,121076.0,830.5121906901451,1967.9467647293318,-1168.0,253.0,404.5,583.0,30800.0,3872814.4688086435
lexical_diversity_difference,121076.0,-0.14048417259316312,0.14382449019243518,-0.8310250817884405,-0.19234536283170517,-0.1407520325203252,-0.0876068376068375,0.5074626865671642,0.02068548397911388
readability_difference,121076.0,7.902220386134415,16.056978312039547,-289.4734328615971,-2.081632894321352,7.833527304604104,18.04299722454966,137.66750000000002,257.8265525133084
jaccard_similarity,121076.0,0.12866943603548295,0.045369307439459765,0.0,0.1014492753623188,0.1282051282051282,0.1545454545454545,0.3157894736842105,0.0020583740575362192
cosine_similarity,121076.0,0.12323189204297783,0.06155028148611954,0.0,0.0828558124048941,0.12099465213459125,0.15940341257938087,0.5021137029640236,0.0037884371510205498
score,121076.0,40.38680807922297,14.157444814714252,10.78,28.385,38.525,50.855,90.0,200.43324368167947
