cosine_quartile,count,mean,std,min,max,anova_f_statistic,anova_p_value
Q1,30269,37.84067428722456,13.05645399286652,10.78,90.0,485.51954103104515,1.204340596e-313
Q2,30269,40.571450824275665,13.424495315778175,11.335,90.0,485.51954103104515,1.204340596e-313
Q3,30269,41.90319799134428,14.28542396956085,13.88,86.66499999999999,485.51954103104515,1.204340596e-313
Q4,30269,41.23190921404737,15.409756579727562,15.38,90.0,485.51954103104515,1.204340596e-313
